gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group D,some college,standard,none,62,70,72
male,group E,associate's degree,free/reduced,completed,46,43,44
male,group B,some high school,standard,completed,61,56,56
male,group D,some high school,standard,none,74,74,72
male,group C,master's degree,standard,none,67,57,59
female,group B,some high school,free/reduced,none,18,32,28
male,group C,some college,standard,none,59,41,42
female,group D,associate's degree,free/reduced,none,43,60,58
female,group E,bachelor's degree,standard,completed,79,81,82
female,group C,some college,standard,none,83,83,90
male,group B,high school,standard,completed,73,71,68
male,group E,associate's degree,standard,completed,94,85,82
female,group C,associate's degree,standard,none,64,64,70
male,group A,some college,free/reduced,completed,50,47,54
male,group D,some college,free/reduced,none,59,62,61
female,group C,associate's degree,standard,completed,67,84,86
male,group C,high school,standard,completed,58,52,54
male,group C,bachelor's degree,free/reduced,completed,70,75,74
male,group D,master's degree,standard,none,89,84,82
male,group D,some college,standard,none,67,64,70
male,group C,bachelor's degree,standard,completed,83,82,84
female,group D,high school,standard,completed,57,58,64
female,group B,associate's degree,free/reduced,none,54,65,65
male,group C,some college,free/reduced,none,63,61,54
male,group E,some high school,standard,completed,81,75,76
male,group C,some high school,standard,none,64,58,51
female,group A,some high school,free/reduced,none,44,64,58
male,group D,bachelor's degree,free/reduced,completed,61,70,76
female,group C,some college,free/reduced,none,62,72,70
female,group C,some high school,free/reduced,none,43,53,53
female,group D,associate's degree,standard,completed,57,78,79
female,group B,some high school,standard,completed,65,82,78
male,group B,bachelor's degree,free/reduced,completed,87,90,88
female,group D,bachelor's degree,free/reduced,none,62,72,74
female,group C,associate's degree,standard,none,54,61,58
female,group C,high school,free/reduced,none,34,42,39
female,group D,some high school,standard,completed,97,100,100
male,group D,master's degree,standard,none,82,82,74
male,group D,high school,standard,none,76,73,68
male,group A,bachelor's degree,free/reduced,none,62,72,65
female,group C,high school,standard,completed,60,64,74
female,group A,some high school,free/reduced,none,47,59,50
male,group C,some college,standard,none,59,60,58
female,group A,some college,standard,completed,78,87,91
male,group D,some college,standard,none,81,82,84
male,group B,some college,free/reduced,completed,59,65,66
male,group D,some college,standard,none,72,57,58
female,group D,associate's degree,free/reduced,none,46,56,57
male,group E,some high school,free/reduced,completed,73,67,59
male,group C,some college,standard,none,66,59,52
female,group D,some college,standard,completed,75,77,83
female,group C,bachelor's degree,free/reduced,none,62,78,79
female,group C,associate's degree,standard,completed,96,96,99
female,group E,some college,standard,none,76,78,80
female,group C,bachelor's degree,free/reduced,completed,74,86,89
male,group D,some college,free/reduced,none,62,57,62
female,group E,some high school,free/reduced,none,74,74,72
female,group D,some college,standard,completed,82,97,96
female,group C,associate's degree,free/reduced,none,60,75,74
male,group D,associate's degree,standard,none,40,52,43
female,group B,high school,standard,none,87,95,86
female,group C,some college,standard,completed,87,89,94
female,group A,associate's degree,free/reduced,none,65,85,76
female,group E,some high school,standard,completed,80,85,85
male,group E,bachelor's degree,standard,completed,76,62,66
male,group C,some high school,standard,completed,76,80,73
female,group C,associate's degree,standard,none,52,55,57
female,group C,associate's degree,free/reduced,none,54,58,61
female,group D,bachelor's degree,standard,none,78,82,79
male,group E,some high school,standard,completed,74,64,60
male,group D,associate's degree,standard,completed,87,84,85
male,group C,some college,standard,none,53,44,42
female,group C,associate's degree,standard,none,58,73,68
male,group B,some college,standard,completed,88,85,76
male,group A,associate's degree,standard,none,54,53,47
female,group C,high school,standard,none,72,80,75
female,group E,bachelor's degree,standard,none,37,45,38
female,group D,some high school,free/reduced,none,48,54,53
female,group B,some college,standard,completed,50,64,66
female,group B,some high school,standard,none,62,64,66
